key,name_en
191516,GS CARGO
100874,GS Networks (GS네트웍스)
100542,GT Xpress
101119,GTA GSM
100118,GTD
190637,GTI
100076,GTS Express
100516,Guatex
191141,GUOO
7141,Guyana Post
100203,GV
191513,GWE
191498,GX
190183,GXA
190728,GYY
190765,GZFL
190695,GZHY
190651,GZSZHHY
191562,GZWL
191230,H&A LOGISTICS
191502,HAIGUI CARGO
100502,Hailify
190680,Haixin Express
191182,Halosend Logistics
190956,HangBang
191459,Hangcheng Supply Chain
100266,Hanjin
191095,HAN-SEA
190895,haohai
191344,haoyouyi
100223,Happy-Post
190958,harlyson
100450,Hart 2 Hart
1131,Haypost
191155,HBGJ
190982,HC logistics
191053,HCRD
191116,HCST
190466,HCT Logistics
191457,HDKJ
191528,HDLINKS
190299,HDQN
191114,HeBang International
190609,Hecny
100518,Hellmann
100181,Helthjem
190767,Hengxun Logistics
190555,Heping Logistics
100642,HepsiJET
191493,Herald Express
100018,Hermes
100031,Hermes (DE)
100091,Hermes Borderguru
101083,Hermes Einrichtungs Service
101146,Heycouriers
100327,HFD
191379,HGD
191568,HGE
190678,HH logistics
190681,HHH
191453,HHSD
190600,HHY
190457,HiLiFe
191073,Himori Express
101048,Hispapost 
100628,Hiyes
190497,HJ-GYL
190229,HJYT
190156,HKD
191358,HKD
191539,HM
190867,HMC
190474,HMCP
190372,HMG
190885,HMTM
190369,HNCA Logistics
191217,HNGT
101038,Hofmann
100840,Holisol
100657,Homerr
190598,Hong Hai Chain
191251,HONG KONG GLOBAL TNTERNATIONAL LOGISTICS LIMITED
191111,HongBong
8011,HongKong Post
190799,HONGXING
190738,Honor Logistics
191299,HORIZON
190854,HOS
190887,HOSTO
191181,HOTSIN
100274,Hound Express
101044,Houng AH Loun Logistics
190464,HOYANGexpress
191043,HP Logistics
190947,HPWL
190388,HQGJXB
100243,HR Parcel (HRP)
190031,HRD
2123,Hrvatska pošta Mostar
100324,HRX
190480,HSD
190416,HSD Express
190352,HSDGJ
190619,HSGJ
190931,HST LOGISTICS
191496,HT
191194,HTH
191267,Hua
190003,HuaHan Logistics
190328,HuaHang
191179,Huahe International
191317,HUALIANGANG
190685,hualihang
191399,Huangyun Logistics
190501,HUANSHI56
191442,Huanyi
190996,HUARUITONG
190382,Huasheng INT
190421,HuaXi Express
191574,HuaXiang Logistics
100804,HUBBED
101013,Hub-Ez
191287,Hubo Logistics
191153,HUIGANWU
190173,HUIN Logistics
191406,Huipaidaexp
190914,HUITIAN
190467,Hundred Miles Freight
100233,Hunter Express
190559,Huodull
190489,HX
190935,HY
191318,HY
190437,HY Express
191450,HY920
191000,HYD
191284,HYE
190712,HYJY
190894,HYL
191465,HYSJPOST
190306,HYTX
190471,HZC
191563,HZT
190848,HZZH
100893,ICC Worldwide
9011,Iceland Post
100638,ICS Courier
100345,iCumulus
190624,IDE
100511,IDexpressIndonesia
100104,IDS Logistics
191334,IITW
100891,IKEA (TH)
190726,ILINE
100661,iloxx GmbH
190626,ILS
190438,iMile
100867,IMX DISTRIBUTION GROUP
100904,Indah Logistik
9021,India Post
100336,InexPost
4041,Inposdom
100594,InPost (ES)
100469,InPost (IT)
100043,InPost (PL)
100598,InPost (PT)
100462,InPost (UK)
101114,Insmail Express
100562,Insta World
100932,Instabox
100636,InstaDispatch
101059,Integrated Couriers & Logistics
100555,Intelcom (CA)
190572,INTEL-VALLEY
100360,Inter Courier
100491,Inter Rapidisimo (INTER RAPIDÍSIMO)
100674,Intercontinental Cargo Movers
100528,Intereuropa
190533,Interlet
100381,Internet Express
100210,Interparcel (AU)
100211,Interparcel (NZ)
100209,Interparcel (UK)
100764,INTEX Paketdienst
101022,Intime ship
100691,INTRAS CORPORATION
101107,iParcel
100015,i-Parcel
22031,Ipostel
191063,IPS
100277,IQS
9041,Iran Post
9081,Iraq Post (البريد العراقي)
100257,ISO Logistics
9061,Israel Post
100857,Itella
100437,iThink Logistics
100492,Ivoy
100778,J&T Cargo (ID)
101019,J&T Cargo (MY)
100856,J&T Express (AE)
100797,J&T Express (BR)
190442,J&T Express (CN)
100619,J&T Express (EG)
100074,J&T Express (ID)
100388,J&T Express (MX)
100079,J&T Express (MY)
100240,J&T Express (PH)
100402,J&T Express (SA)
100229,J&T Express (SG)
100271,J&T Express (TH)
100456,J&T Express (VN)
100295,J&T International
101052,Jadlog
10011,Jamaica Post
101053,JAŃA POST
100728,Janco E-Commerce
100140,Janio
10021,Japan Post
100115,JAPO Transport
190793,JASPOST
191488,JBD
190940,JC Logistics
190120,JCEX
190994,JCH
191103,JCW Express
191121,JD Logistics
190302,JD Worldwide
100120,JDE
191535,JDGJ
190567,JDIEX
100228,JDL Express
190498,JDT
190332,JDY
100238,JENY
90091,Jersey Post
100554,Jet Logistic
100890,JET-F WORLDWIDE EXPRESS
100625,Jetline Couriers Pvt. Ltd
191391,JF packet
191531,JFLY
191195,JGEX
190357,JH
190918,JHEX
191343,JHTrack
191337,JIARUI
190902,Jiashida
191198,JIAXINGUOJI
191098,JIAYANG
190274,JIAYOU EXP
191368,JIEBAO
190544,Jiedan logistics
190641,Jiede supply chain
190962,JieHao
191129,JIESHUN LIANYUN
190955,Jifan
190990,JiMai
191392,JIMMY
191067,Jindouyun
190465,JINLAI
191142,Jinlian
190612,JINSHIDA
190690,Jinyue Freight
100272,Jitsu (AxleHire)
190301,JiuFang
190908,Jiyun logistic
191546,JJ GLOBAL
190588,JJWEX
191426,JKL
191257,JL
191484,JL56
190828,JLH
191559,JMGJ
191330,JND 
100086,JNE Express
190082,J-NET
100359,Jocom
191499,Jomalls
100449,Joom Logistics
10031,Jordan Post
191411,JOURNEY TO VISION
191057,Jowee
190379,JOYING BOX
2121,JP BH Post
101025,JP Express
101132,JP Logistics
191551,JPS
190443,JPSGJ
190812,JQGJ
191055,JR
190199,JS
191460,JSDZJ
190025,JSH
191564,Jshoton
191243,JSR
190936,JSYD
190832,JTD
190105,JTEX
191143,JTHQ
190951,JTR
190967,JUMP
100945,Jumppoint
190757,JunFeng International
191561,Junhe
190758,JUNYA
100871,Jupiter Services
190644,Jusda International
190980,JWGJ
190739,JX EXPRESS
191372,JXGYL
191002,JXSF
190365,JY
190460,JYC
191526,JY-EXP
190959,JYGJ
191247,JYH
191367,JYKJ
191224,JYM Express
191169,JYTD
191548,JYTWL
191455,JZDD
190875,JZGJ
191009,KaixuanJia
100887,Kangu
191120,Kapoklog
101135,kart2door
11011,Kaz Post
190977,KCKEX
191202,KCO logistics
100544,KDZ Express
191054,KEAS
191427,Keishong
191555,Keke logistics
11021,Kenya Post
190225,Kerry eCommerce
100634,Kerry Express
100338,Kerry Express (HK)
100236,Kerry Express (TH)
100704,Kerry TJ
100064,KEX Express (ABX Express)
100954,Khubani Air Pack
101095,Kindersley Transport
190577,KING KERRY
190426,King Kong Express
101026,Kinisi Transport
100632,KINTETSU LOGISTICS SYSTEMS (近鉄ロジスティクス)
100748,Kintetsu World Express (近鉄エクスプレス [KWE])
11041,Kiribati Post
191565,KJGJSD
191290,KJK Express
191124,KLE
100085,K-mestu
191421,KMGJ
190366,Komon
190452,Kong Lok Express
191234,KongFu
190606,KPK
191569,KQ
190431,Krexi international
100757,Kronos Express
190522,KTD
191102,KUAIKAI
191210,KUAIYAN
190950,kuaiyueda 
190390,KuaJing Line
100164,Kuehne Nagel
190802,KUN
100660,Kurasi
100585,Kurir Rekomendasi (Tokopedia)
11081,Kuwait Post
190876,Kwai Bon
100883,Kwick box
100641,Kwiksave Logistics
190054,KWT
191184,KxExp
191370,KYD
190551,KYE
190845,KYE (CN)
190611,KYLIN
190453,Kylin Express
11094,Kyrgyz Express Post(KEP)
11091,Kyrgyz Post
6051,La Poste (Colissimo)
2081,La Poste De Benin
19081,La Poste De Senegal
20051,La Poste De Togo
20101,La Poste De Tunisia
13071,La poste du Mali
100529,LaBaih
100021,Landmark Global
100052,LaserShip
101089,LAST ONE MILE CO-OP (ラストワンマイル協同組合)
191312,LAT Logistics
190504,latam
101130,Latam Global
12021,Latvia Post
101118,Lazada Choice
100997,Lazada Logistics (VN)
191066,LB Logistics
100264,LBC Express
190676,LBTX
191203,LCD
190582,LCDGYL
100366,LCS-Leopards Courier Service
190686,LDGJ
191272,LDTGYL
190285,LEADER
190507,LEDii
100351,Legion Express
190445,LeiYi international logistics
100886,Lenton Group (DPD)
190451,lerdex
12041,Lesotho Post
101125,LetterTrack
190223,LEX
100898,LEXSHIP
191199,Leyi Cross border
191439,LFDS
190645,LHE
191165,LHT Express
191227,LHTD
191338,lianye int.
191402,LIB
12031,Liban Post
190422,LiBang Logistics
12061,Libya Post
100494,Liccardi
190347,Lidi Logistics
191463,LIGHTCONE SCM
100358,Line Clear Express
190473,Linex
190971,LING YUN
190660,Lingjing
190360,LingXun Logistics
190973,LinHan
191293,Link Road
190964,Link Supply Chain
191233,linktrans
190858,LINLONG
100586,Lion parcel
